positive,negetive,neutral,Date,Price,Open,High,Low,Vol.,Change %
0.11609414911912225,0.7892517720962443,0.09465408136659278,2015-01-01,313.9,317.5,317.5,312.9,0.93K,-0.99%
0.11384558944261713,0.7953383273733802,0.09081608507269885,2015-01-02,315.1,313.6,316.0,313.0,1.32K,0.40%
0.11482232772315029,0.7951502140461062,0.09002746046090607,2015-01-03,282.0,314.8,314.8,282.0,1.30K,-10.51%
0.11479800924424013,0.790363086989863,0.09483890383694302,2015-01-04,258.8,282.0,288.9,258.8,2.38K,-8.23%
0.11702794395815368,0.7909058052575452,0.09206625158930647,2015-01-05,273.2,261.0,276.5,260.5,2.68K,5.57%
0.1134131290240302,0.7919415257693756,0.09464535017364792,2015-01-06,285.4,273.2,287.8,268.5,6.86K,4.46%
0.11720170205172824,0.7888094884848016,0.0939888101010872,2015-01-07,297.0,286.1,303.8,285.0,1.53K,4.07%
0.11448974863232411,0.7846675057898682,0.10084275082009765,2015-01-08,285.6,296.2,296.2,285.6,1.31K,-3.82%
0.11174237802131287,0.7980394560769694,0.09021816775202751,2015-01-09,292.8,285.4,295.6,283.0,1.26K,2.52%
0.11306061534155881,0.7918433975385913,0.09509598839697099,2015-01-10,275.0,292.4,292.4,271.0,1.11K,-6.08%
0.11432580619970745,0.7864066911014643,0.09926750268886753,2015-01-11,266.2,274.8,280.0,265.0,1.42K,-3.22%
0.11175570919241276,0.7900384012723993,0.09820588875813352,2015-01-12,267.6,267.2,281.0,265.5,2.56K,0.54%
0.11676903045949859,0.7888967153881121,0.09433425302882123,2015-01-13,229.8,267.3,267.6,222.5,13.52K,-14.12%
0.1192491609292025,0.7898759101401871,0.09087492949823359,2015-01-14,183.2,230.3,230.5,164.9,9.67K,-20.31%
0.1165219288055209,0.787912345092862,0.09556573010926434,2015-01-15,217.7,181.1,234.5,176.5,3.30K,18.87%
0.11331968999591219,0.7912868900112359,0.09539342174328953,2015-01-16,206.7,216.0,225.0,200.0,1.56K,-5.07%
0.11450551620366946,0.7879479405163341,0.0975465439260006,2015-01-17,201.2,207.2,211.0,198.2,2.64K,-2.64%
0.11257367082570323,0.7957380693498536,0.09168825920356151,2015-01-18,209.9,202.9,218.3,197.1,1.97K,4.29%
0.11362002111307465,0.7923983148492799,0.0939816641298556,2015-01-19,213.2,211.2,216.2,208.8,1.19K,1.60%
0.11271442734089095,0.7910716848966387,0.0962138883001411,2015-01-20,218.0,215.0,218.0,208.0,,2.25%
0.11294280999719199,0.7928766852347695,0.09418050359803529,2015-01-21,225.5,219.0,225.5,219.0,,3.44%
0.11475824491369509,0.7911098445702462,0.09413190983336975,2015-01-22,226.3,245.5,257.7,216.6,0.00K,0.36%
0.11101584193234948,0.7957729105574493,0.0932112504391764,2015-01-23,235.0,230.0,235.0,215.0,,3.84%
0.1170840962893433,0.7812870103451941,0.10162889256946042,2015-01-24,240.0,215.0,250.6,215.0,0.00K,2.13%
0.11464194338603885,0.788029256647667,0.09732880012288822,2015-01-25,254.5,248.0,256.3,245.3,0.48K,6.05%
0.11594269592356259,0.7916646584405868,0.09239264917528947,2015-01-26,274.5,262.8,322.7,241.4,5.18K,7.84%
0.12034183308890421,0.7817416401350334,0.097916527061838,2015-01-27,263.6,274.7,278.5,244.0,1.63K,-3.95%
0.11475049704313278,0.7936858220504281,0.09156367910486427,2015-01-28,236.1,264.0,266.0,228.5,5.34K,-10.45%
0.11128292934035512,0.7875382341355157,0.10117883644372726,2015-01-29,235.0,235.9,242.0,221.1,6.64K,-0.45%
0.11475307452636435,0.7920366369725502,0.09321029076218298,2015-01-30,229.1,235.0,244.6,227.9,5.77K,-2.54%
0.11462862072301529,0.7949950461393421,0.09037633587434454,2015-01-31,218.4,229.0,234.7,217.1,5.60K,-4.64%
0.11487401993875217,0.7881637677214199,0.09696221418846819,2015-02-01,229.0,218.7,233.8,210.0,7.23K,4.82%
0.12062301534443653,0.7839490562090146,0.09542792774691003,2015-02-02,237.8,228.4,240.1,220.9,7.45K,3.86%
0.11368710830260137,0.7911264718048215,0.09518642097789784,2015-02-03,228.6,237.0,243.9,225.3,8.32K,-3.89%
0.11263306688746852,0.7928058113108314,0.09456112360255131,2015-02-04,227.1,228.8,231.0,221.5,9.15K,-0.64%
0.10934582835314079,0.7954078030844147,0.0952463675236616,2015-02-05,216.8,227.1,228.9,215.0,7.41K,-4.56%
0.10936837952852622,0.7918415099942946,0.09879011329158346,2015-02-06,223.2,216.8,226.6,216.0,5.69K,2.97%
0.1129732952736642,0.7931427622433775,0.09388393730573032,2015-02-07,229.0,223.2,230.5,222.7,4.10K,2.60%
0.11698225226539832,0.7846414659840938,0.0983762820967688,2015-02-08,224.0,229.2,231.6,220.0,4.30K,-2.19%
0.12018126122460797,0.7834813267035389,0.09633741094249076,2015-02-09,221.1,224.0,225.0,216.4,6.55K,-1.29%
0.11197673743155515,0.78284705760323,0.10517620649710994,2015-02-10,220.9,221.1,222.0,215.0,5.40K,-0.10%
0.11017546764737286,0.7917144347426541,0.09811009560634784,2015-02-11,219.8,221.4,223.3,218.1,19.23K,-0.49%
0.11437418041450362,0.7899225818453938,0.09570323751978976,2015-02-12,222.4,220.0,223.2,217.8,20.02K,1.17%
0.1166871677884356,0.7860363110288836,0.09727652396783468,2015-02-13,236.1,222.6,242.5,221.5,68.09K,6.16%
0.11191971315115336,0.7954948856717065,0.09258540097757109,2015-02-14,257.2,236.1,261.2,235.5,80.10K,8.96%
0.11662425896879622,0.7890858378752258,0.09428990914339551,2015-02-15,235.9,257.0,268.3,228.2,103.42K,-8.29%
0.11194155765231699,0.7931240291148424,0.09493441064842045,2015-02-16,233.6,235.9,243.3,229.0,47.11K,-0.97%
0.11264605894684791,0.7878041245256151,0.09954981430300644,2015-02-17,244.0,233.5,246.3,231.5,41.39K,4.45%
0.11506488777901212,0.7774159322862756,0.10751917447945843,2015-02-18,236.3,244.0,245.0,231.7,39.24K,-3.16%
0.11662337941428026,0.7886746064280019,0.09470201472215581,2015-02-19,240.2,236.3,243.4,235.0,23.47K,1.65%
0.1225104949033972,0.7833931490111706,0.09409635840956844,2015-02-20,244.5,240.0,248.3,238.9,31.65K,1.79%
0.11567438962741401,0.790432659296182,0.09389294913639656,2015-02-21,245.6,244.5,247.7,243.3,16.44K,0.43%
0.11696310812870714,0.7785815970279784,0.10445529272223955,2015-02-22,236.5,245.5,247.8,232.4,33.48K,-3.69%
0.11736221919211494,0.7799268435318392,0.10271093561808704,2015-02-23,239.4,236.5,241.0,232.6,23.92K,1.23%
0.11733746575191617,0.7718569726767865,0.11080556115643544,2015-02-24,239.7,239.4,241.0,236.7,16.66K,0.14%
0.11524954324681558,0.7842897795396304,0.10046068208886796,2015-02-25,238.0,239.7,240.8,235.6,13.56K,-0.73%
0.11560327604172692,0.7739310018958584,0.1104657256435002,2015-02-26,236.9,238.0,238.3,233.8,18.69K,-0.45%
0.11170870881931037,0.7920647627988439,0.09622652992416339,2015-02-27,255.0,236.9,262.6,236.6,69.50K,7.61%
0.11465039538007055,0.7749735999277374,0.11037600427965989,2015-02-28,255.7,255.1,257.4,251.3,17.59K,0.29%
